time,open,high,low,close,tick_volume,tick_volume,spread
2025-10-24 18:25:00+00:00,4134.94,4138.72,4133.82,4136.46,1792,0,1
2025-10-24 18:30:00+00:00,4136.48,4137.16,4133.18,4133.21,1597,0,16
2025-10-24 18:35:00+00:00,4133.14,4135.83,4127.21,4127.23,1899,0,1
2025-10-24 18:40:00+00:00,4127.33,4130.94,4121.86,4130.84,2250,0,12
2025-10-24 18:45:00+00:00,4130.81,4131.8,4129.01,4131.13,1667,0,18
2025-10-24 18:50:00+00:00,4131.13,4133.2,4129.87,4130.57,1901,0,14
2025-10-24 18:55:00+00:00,4130.62,4130.64,4126.12,4129.42,2230,0,6
2025-10-24 19:00:00+00:00,4129.42,4134.41,4129.37,4131.37,1911,0,8
2025-10-24 19:05:00+00:00,4131.37,4132.42,4127.95,4128.64,1898,0,4
2025-10-24 19:10:00+00:00,4128.65,4130.36,4126.12,4126.48,1843,0,5
2025-10-24 19:15:00+00:00,4126.47,4127.6,4122.54,4122.86,1936,0,11
2025-10-24 19:20:00+00:00,4122.79,4125.36,4120.97,4122.83,1637,0,20
2025-10-24 19:25:00+00:00,4122.63,4125.15,4120.33,4121.05,2318,0,4
2025-10-24 19:30:00+00:00,4121.34,4124.16,4117.33,4120.46,1862,0,11
2025-10-24 19:35:00+00:00,4120.49,4122.06,4117.99,4118.4,1279,0,24
2025-10-24 19:40:00+00:00,4118.24,4119.06,4111.66,4112.32,1572,0,20
2025-10-24 19:45:00+00:00,4112.33,4117.0,4111.98,4115.05,1161,0,33
2025-10-24 19:50:00+00:00,4115.05,4115.98,4108.45,4109.56,1617,0,1
2025-10-24 19:55:00+00:00,4109.56,4112.41,4105.82,4107.72,1599,0,24
2025-10-24 20:00:00+00:00,4107.94,4109.62,4103.21,4106.01,1901,0,12
2025-10-24 20:05:00+00:00,4106.06,4107.59,4103.41,4107.33,1793,0,6
2025-10-24 20:10:00+00:00,4107.3,4107.91,4102.08,4104.69,1837,0,16
2025-10-24 20:15:00+00:00,4104.69,4109.99,4103.11,4109.97,1641,0,23
2025-10-24 20:20:00+00:00,4109.61,4110.84,4107.73,4108.47,1537,0,24
2025-10-24 20:25:00+00:00,4108.46,4110.06,4102.07,4106.13,1996,0,10
2025-10-24 20:30:00+00:00,4106.08,4111.73,4103.96,4111.37,1294,0,9
2025-10-24 20:35:00+00:00,4111.4,4113.68,4108.21,4110.99,1335,0,15
2025-10-24 20:40:00+00:00,4110.99,4110.99,4104.26,4107.15,1231,0,23
2025-10-24 20:45:00+00:00,4107.16,4109.47,4105.48,4109.46,1286,0,19
2025-10-24 20:50:00+00:00,4109.63,4110.97,4107.16,4108.71,1772,0,18
2025-10-24 20:55:00+00:00,4108.71,4111.54,4107.96,4110.4,2015,0,24
2025-10-24 21:00:00+00:00,4110.41,4115.98,4110.02,4115.54,1737,0,1
2025-10-24 21:05:00+00:00,4115.5,4117.55,4115.33,4117.4,1748,0,13
2025-10-24 21:10:00+00:00,4117.4,4117.4,4112.73,4114.65,1394,0,15
2025-10-24 21:15:00+00:00,4114.66,4115.76,4113.22,4114.38,1270,0,10
2025-10-24 21:20:00+00:00,4114.2,4115.2,4110.98,4114.99,1268,0,18
2025-10-24 21:25:00+00:00,4114.94,4117.09,4113.08,4113.13,1418,0,13
2025-10-24 21:30:00+00:00,4113.08,4113.37,4109.81,4112.0,1422,0,6
2025-10-24 21:35:00+00:00,4111.95,4113.92,4110.46,4111.66,1089,0,21
